message,label,type
May gulo sa barangay hall,urgent,fights
May butas sa kalsada,non-urgent,infrastructure
Sumisigaw ng tulong sa kanto,urgent,medical emergency
Streetlight not working kaagad,non-urgent,infrastructure
Burning smell in the neighborhood pls,urgent,fire emergency
Basura nakakalat sa kanto,non-urgent,waste
May gulo sa barangay hall,urgent,fights
Malaking usok sa likod ng simbahan please,urgent,fire emergency
Nagsisigawan sa kanto urgently,non-urgent,noise
Loud vehicles passing midnight agad,non-urgent,noise
Loud construction early morning.,non-urgent,noise
Lubak-lubak ang daan papuntang palengke naman,non-urgent,infrastructure
Flames visible near gasoline station please,urgent,fire emergency
Bad smell from uncollected garbage naman,non-urgent,waste
Trash scattered after fiesta now,non-urgent,waste
May nagsusuntukan sa kanto,urgent,fights
Burning smell in the neighborhood,urgent,fire emergency
Nagsisigawan sa kanto,non-urgent,noise
May sugatang tao sa park,urgent,medical emergency
Basura nakakalat sa kanto,non-urgent,waste
Loud construction early morning!,non-urgent,noise
Malaking usok sa likod ng simbahan,urgent,fire emergency
Burning smell in the neighborhood,urgent,fire emergency
Group of men arguing loudly po,urgent,fights
Loud construction early morning,non-urgent,noise
Trash scattered after fiesta naman,non-urgent,waste
Road full of potholes,non-urgent,infrastructure
Barking dogs all night.,non-urgent,noise
Broken road near bridge agad,non-urgent,infrastructure
May apoy sa gilid ng kalsada naman,urgent,fire emergency
Injury accident at intersection,urgent,medical emergency
Loud construction early morning,non-urgent,noise
Streetlight not working,non-urgent,infrastructure
Bridge railing damaged,non-urgent,infrastructure
"Car accident, please send help!",urgent,medical emergency
Cracked sidewalk near park po,non-urgent,infrastructure
Malaking usok sa likod ng simbahan pls,urgent,fire emergency
Cracked sidewalk near park po,non-urgent,infrastructure
Road full of potholes,non-urgent,infrastructure
"Car accident, please send help kaagad",urgent,medical emergency
Streetlight not working naman,non-urgent,infrastructure
Nawalan ng malay sa school,urgent,medical emergency
May sugatang tao sa park now,urgent,medical emergency
Fight reported at the gym agad,urgent,fights
May sirang poste sa labas ng barangay,non-urgent,infrastructure
Fire alarm activated at office,urgent,fire emergency
"Sunog sa palengke, please respond.",urgent,fire emergency
Lubak-lubak ang daan papuntang palengke,non-urgent,infrastructure
Nasusunog ang bahay sa barangay agad,urgent,fire emergency
"Sunog sa palengke, please respond now",urgent,fire emergency
Nasusunog ang bahay sa barangay please,urgent,fire emergency
May party na sobrang ingay!,non-urgent,noise
Littering near playground,non-urgent,waste
Loud vehicles passing midnight,non-urgent,noise
Karaoke noise disturbing residents agad,non-urgent,noise
May sirang poste sa labas ng barangay naman,non-urgent,infrastructure
May nahimatay sa kalsada urgently,urgent,medical emergency
Bar fight ongoing,urgent,fights
Uncollected waste near market,non-urgent,waste
Maruming paligid sa barangay naman,non-urgent,waste
Trash scattered after fiesta,non-urgent,waste
May sirang poste sa labas ng barangay,non-urgent,infrastructure
Loud vehicles passing midnight urgently,non-urgent,noise
Nagsasagutan at nag-aaway sa plaza agad,urgent,fights
Bad smell from uncollected garbage.,non-urgent,waste
"Sunog sa palengke, please respond",urgent,fire emergency
May gulo sa barangay hall,urgent,fights
Littering near playground!,non-urgent,waste
May sunog sa tindahan,urgent,fire emergency
Sumisigaw ng tulong sa kanto,urgent,medical emergency
Nawalan ng malay sa school.,urgent,medical emergency
Nasusunog ang bahay sa barangay,urgent,fire emergency
Fire at apartment building please,urgent,fire emergency
Fire alarm activated at office naman,urgent,fire emergency
"Car accident, please send help now",urgent,medical emergency
Loud construction early morning!,non-urgent,noise
Injury accident at intersection,urgent,medical emergency
Nasusunog ang bahay sa barangay pls,urgent,fire emergency
Basura nakakalat sa kanto please,non-urgent,waste
Maingay na motor sa kalsada,non-urgent,noise
Person bleeding heavily agad,urgent,medical emergency
Heart attack alert,urgent,medical emergency
May nagsusuntukan sa kanto please,urgent,fights
Sira ang drainage sa gilid ng daan!,non-urgent,infrastructure
May party na sobrang ingay,non-urgent,noise
Too much noise from karaoke,non-urgent,noise
Loud vehicles passing midnight naman,non-urgent,noise
Barking dogs all night,non-urgent,noise
Smoke seen from the warehouse!,urgent,fire emergency
Loud vehicles passing midnight,non-urgent,noise
Fire at apartment building naman,urgent,fire emergency
Injury accident at intersection agad,urgent,medical emergency
May sugatang tao sa park!,urgent,medical emergency
Fire alarm activated at office,urgent,fire emergency
Fallen signboard on road,non-urgent,infrastructure
Violent altercation on street po,urgent,fights
Bad smell from uncollected garbage,non-urgent,waste
Bridge railing damaged urgently,non-urgent,infrastructure
"Car accident, please send help",urgent,medical emergency
May sugatang tao sa park agad,urgent,medical emergency
May apoy sa gilid ng kalsada,urgent,fire emergency
May nahimatay sa kalsada,urgent,medical emergency
Streetlight not working!,non-urgent,infrastructure
Flames visible near gasoline station kaagad,urgent,fire emergency
Flames visible near gasoline station agad,urgent,fire emergency
Ambulance required at city hall urgently,urgent,medical emergency
Violent altercation on street pls,urgent,fights
Malaking usok sa likod ng simbahan,urgent,fire emergency
Karaoke noise disturbing residents now,non-urgent,noise
Bad smell from uncollected garbage pls,non-urgent,waste
"Sunog sa palengke, please respond",urgent,fire emergency
Fallen signboard on road,non-urgent,infrastructure
Karaoke noise disturbing residents,non-urgent,noise
Barking dogs all night,non-urgent,noise
Fire alarm activated at office naman,urgent,fire emergency
Bridge railing damaged urgently,non-urgent,infrastructure
Loud music at night,non-urgent,noise
Heart attack alert,urgent,medical emergency
Loud construction early morning,non-urgent,noise
May party na sobrang ingay,non-urgent,noise
Fire alarm activated at office urgently,urgent,fire emergency
May butas sa kalsada,non-urgent,infrastructure
Barking dogs all night!,non-urgent,noise
Ambulance required at city hall,urgent,medical emergency
Maingay na motor sa kalsada,non-urgent,noise
Fire alarm activated at office agad,urgent,fire emergency
Uncollected waste near market please,non-urgent,waste
Trash scattered after fiesta naman,non-urgent,waste
Basura nakakalat sa kanto,non-urgent,waste
Maingay ang kapitbahay naman,non-urgent,noise
Maruming paligid sa barangay naman,non-urgent,waste
Flames visible near gasoline station,urgent,fire emergency
May rambol sa eskinita,urgent,fights
"Car accident, please send help pls",urgent,medical emergency
Broken road near bridge.,non-urgent,infrastructure
People fighting outside store,urgent,fights
Burning smell in the neighborhood,urgent,fire emergency
Person bleeding heavily po,urgent,medical emergency
Trash scattered after fiesta,non-urgent,waste
May apoy sa gilid ng kalsada,urgent,fire emergency
"Car accident, please send help",urgent,medical emergency
Garbage not collected for days po,non-urgent,waste
Burning smell in the neighborhood,urgent,fire emergency
People fighting outside store pls,urgent,fights
Fight reported at the gym po,urgent,fights
May gulo sa barangay hall,urgent,fights
Cracked sidewalk near park please,non-urgent,infrastructure
Loud construction early morning,non-urgent,noise
Garbage not collected for days,non-urgent,waste
Garbage not collected for days,non-urgent,waste
Person bleeding heavily urgently,urgent,medical emergency
May nahimatay sa kalsada,urgent,medical emergency
Flames visible near gasoline station now,urgent,fire emergency
Loud vehicles passing midnight urgently,non-urgent,noise
May nahimatay sa kalsada,urgent,medical emergency
Heart attack alert,urgent,medical emergency
Garbage not collected for days now,non-urgent,waste
Basura nakakalat sa kanto!,non-urgent,waste
Loud construction early morning,non-urgent,noise
Loud music at night now,non-urgent,noise
Ambulance required at city hall,urgent,medical emergency
Nagsisigawan sa kanto,non-urgent,noise
Cracked sidewalk near park po,non-urgent,infrastructure
Violent altercation on street,urgent,fights
Loud construction early morning naman,non-urgent,noise
May apoy sa gilid ng kalsada,urgent,fire emergency
Fire at apartment building,urgent,fire emergency
Person bleeding heavily,urgent,medical emergency
Streetlight not working naman,non-urgent,infrastructure
May sirang poste sa labas ng barangay,non-urgent,infrastructure
Fight reported at the gym.,urgent,fights
Flames visible near gasoline station,urgent,fire emergency
Trash scattered after fiesta,non-urgent,waste
May apoy sa gilid ng kalsada,urgent,fire emergency
Burning smell in the neighborhood!,urgent,fire emergency
Maingay ang kapitbahay please,non-urgent,noise
Loud construction early morning pls,non-urgent,noise
May sunog sa tindahan,urgent,fire emergency
Nagsisigawan sa kanto!,non-urgent,noise
Fallen signboard on road!,non-urgent,infrastructure
May sugatang tao sa park,urgent,medical emergency
Bar fight ongoing,urgent,fights
People fighting outside store,urgent,fights
Loud construction early morning,non-urgent,noise
Garbage not collected for days,non-urgent,waste
Need ambulance urgently urgently,urgent,medical emergency
Bad smell from uncollected garbage,non-urgent,waste
Loud vehicles passing midnight,non-urgent,noise
May gulo sa barangay hall naman,urgent,fights
Person bleeding heavily,urgent,medical emergency
Sumisigaw ng tulong sa kanto kaagad,urgent,medical emergency
Karaoke noise disturbing residents,non-urgent,noise
Fight reported at the gym agad,urgent,fights
"Sunog sa palengke, please respond naman",urgent,fire emergency
May apoy sa gilid ng kalsada,urgent,fire emergency
May butas sa kalsada,non-urgent,infrastructure
Loud music at night,non-urgent,noise
Maingay ang kapitbahay,non-urgent,noise
Hindi pa kinukuha ang basura pls,non-urgent,waste
Basura nakakalat sa kanto,non-urgent,waste
Hindi pa kinukuha ang basura pls,non-urgent,waste
Maruming paligid sa barangay,non-urgent,waste
Smoke seen from the warehouse,urgent,fire emergency
Road full of potholes.,non-urgent,infrastructure
Group of men arguing loudly,urgent,fights
Need ambulance urgently!,urgent,medical emergency
May rambol sa eskinita,urgent,fights
Streetlight not working pls,non-urgent,infrastructure
Garbage not collected for days now,non-urgent,waste
May nahimatay sa kalsada.,urgent,medical emergency
Bridge railing damaged po,non-urgent,infrastructure
Nawalan ng malay sa school now,urgent,medical emergency
Two men fighting near school urgently,urgent,fights
Loud vehicles passing midnight,non-urgent,noise
Maingay ang kapitbahay po,non-urgent,noise
Burning smell in the neighborhood kaagad,urgent,fire emergency
