message,label,type
"Child is unconscious in the market, send medical team",Urgent,Medical Emergency
Emergency! Someone is not breathing at the waiting shed,Urgent,Medical Emergency
Person is bleeding heavily after an accident at the street corner,Urgent,Medical Emergency
Person is bleeding heavily after an accident at the barangay hall,Urgent,Medical Emergency
"Child is unconscious in the basketball court, send medical team",Urgent,Medical Emergency
"Someone fainted at the basketball court, please send an ambulance",Urgent,Medical Emergency
"Someone fainted at the market, please send an ambulance",Urgent,Medical Emergency
"A person collapsed near the street corner, urgent medical help needed",Urgent,Medical Emergency
"Medical emergency at the factory, immediate response required",Urgent,Medical Emergency
"Accident at the church, multiple people injured, ambulance required",Urgent,Medical Emergency
"Child is unconscious in the basketball court, send medical team",Urgent,Medical Emergency
"Medical emergency at the school, immediate response required",Urgent,Medical Emergency
"Accident at the basketball court, multiple people injured, ambulance required",Urgent,Medical Emergency
"Child is unconscious in the factory, send medical team",Urgent,Medical Emergency
"An old man fainted inside the playground, please send medical help",Urgent,Medical Emergency
"Someone fainted at the residential area, please send an ambulance",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the main road",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the barangay hall,Urgent,Medical Emergency
"An old man fainted inside the waiting shed, please send medical help",Urgent,Medical Emergency
"Child is unconscious in the barangay hall, send medical team",Urgent,Medical Emergency
Emergency! Someone is not breathing at the apartment,Urgent,Medical Emergency
Emergency! Someone is not breathing at the street corner,Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the barangay hall",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the factory,Urgent,Medical Emergency
"Accident at the apartment, multiple people injured, ambulance required",Urgent,Medical Emergency
"Accident at the barangay hall, multiple people injured, ambulance required",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the market,Urgent,Medical Emergency
"Someone fainted at the church, please send an ambulance",Urgent,Medical Emergency
"Child is unconscious in the market, send medical team",Urgent,Medical Emergency
"A person collapsed near the plaza, urgent medical help needed",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the basketball court",Urgent,Medical Emergency
"Someone fainted at the barangay hall, please send an ambulance",Urgent,Medical Emergency
"Accident at the playground, multiple people injured, ambulance required",Urgent,Medical Emergency
"Accident at the apartment, multiple people injured, ambulance required",Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the apartment",Urgent,Medical Emergency
"A person collapsed near the church, urgent medical help needed",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the waiting shed",Urgent,Medical Emergency
"Accident at the market, multiple people injured, ambulance required",Urgent,Medical Emergency
Emergency! Someone is not breathing at the school,Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the church",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the church,Urgent,Medical Emergency
"Accident at the residential area, multiple people injured, ambulance required",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the main road,Urgent,Medical Emergency
"Medical emergency at the playground, immediate response required",Urgent,Medical Emergency
"Medical emergency at the residential area, immediate response required",Urgent,Medical Emergency
"Someone fainted at the street corner, please send an ambulance",Urgent,Medical Emergency
"Someone fainted at the school, please send an ambulance",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the playground,Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the barangay hall",Urgent,Medical Emergency
"An old man fainted inside the market, please send medical help",Urgent,Medical Emergency
"Accident at the church, multiple people injured, ambulance required",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the street corner,Urgent,Medical Emergency
"Child is unconscious in the market, send medical team",Urgent,Medical Emergency
"An old man fainted inside the factory, please send medical help",Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the school",Urgent,Medical Emergency
Emergency! Someone is not breathing at the waiting shed,Urgent,Medical Emergency
"Accident at the playground, multiple people injured, ambulance required",Urgent,Medical Emergency
"An old man fainted inside the apartment, please send medical help",Urgent,Medical Emergency
"An old man fainted inside the barangay hall, please send medical help",Urgent,Medical Emergency
Emergency! Someone is not breathing at the school,Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the street corner",Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the waiting shed",Urgent,Medical Emergency
Emergency! Someone is not breathing at the factory,Urgent,Medical Emergency
Emergency! Someone is not breathing at the plaza,Urgent,Medical Emergency
"Child is unconscious in the street corner, send medical team",Urgent,Medical Emergency
"An old man fainted inside the market, please send medical help",Urgent,Medical Emergency
Emergency! Someone is not breathing at the apartment,Urgent,Medical Emergency
"A person collapsed near the main road, urgent medical help needed",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the barangay hall",Urgent,Medical Emergency
"Medical emergency at the street corner, immediate response required",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the playground,Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the apartment",Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the barangay hall",Urgent,Medical Emergency
"A person collapsed near the playground, urgent medical help needed",Urgent,Medical Emergency
"Child is unconscious in the residential area, send medical team",Urgent,Medical Emergency
"Child is unconscious in the school, send medical team",Urgent,Medical Emergency
"Child is unconscious in the church, send medical team",Urgent,Medical Emergency
"Someone fainted at the street corner, please send an ambulance",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the street corner",Urgent,Medical Emergency
"Child is unconscious in the basketball court, send medical team",Urgent,Medical Emergency
"A person collapsed near the factory, urgent medical help needed",Urgent,Medical Emergency
"Medical emergency at the market, immediate response required",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the school",Urgent,Medical Emergency
"Medical emergency at the factory, immediate response required",Urgent,Medical Emergency
"An old man fainted inside the basketball court, please send medical help",Urgent,Medical Emergency
"A person collapsed near the church, urgent medical help needed",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the factory",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the apartment,Urgent,Medical Emergency
Emergency! Someone is not breathing at the main road,Urgent,Medical Emergency
